filename, n, cpu_time_used
231.node, 231, 0.000252
232.node, 232, 0.000253
233.node, 233, 0.000273
234.node, 234, 0.000257
235.node, 235, 0.000244
236.node, 236, 0.000251
237.node, 237, 0.000253
238.node, 238, 0.000266
239.node, 239, 0.000252
240.node, 240, 0.000276
241.node, 241, 0.000256
242.node, 242, 0.000265
243.node, 243, 0.000279
244.node, 244, 0.00028
245.node, 245, 0.000279
246.node, 246, 0.000299
247.node, 247, 0.000339
248.node, 248, 0.000331
249.node, 249, 0.000351
250.node, 250, 0.00034
251.node, 251, 0.000348
252.node, 252, 0.000349
253.node, 253, 0.000367
254.node, 254, 0.000359
255.node, 255, 0.000303
256.node, 256, 0.000287
257.node, 257, 0.000288
258.node, 258, 0.000283
259.node, 259, 0.000291
260.node, 260, 0.000296
261.node, 261, 0.000286
262.node, 262, 0.000294
263.node, 263, 0.000285
264.node, 264, 0.000295
265.node, 265, 0.000329
266.node, 266, 0.000329
267.node, 267, 0.000323
268.node, 268, 0.000336
269.node, 269, 0.000373
270.node, 270, 0.000335
271.node, 271, 0.000339
272.node, 272, 0.000341
273.node, 273, 0.000336
274.node, 274, 0.000345
275.node, 275, 0.000335
276.node, 276, 0.000389
277.node, 277, 0.000326
278.node, 278, 0.000369
279.node, 279, 0.000323
280.node, 280, 0.000344
281.node, 281, 0.000332
282.node, 282, 0.000335
283.node, 283, 0.000336
284.node, 284, 0.000333
285.node, 285, 0.00034
286.node, 286, 0.000341
287.node, 287, 0.000345
288.node, 288, 0.000346
289.node, 289, 0.000383
290.node, 290, 0.00039
291.node, 291, 0.000409
292.node, 292, 0.000387
293.node, 293, 0.000393
294.node, 294, 0.000362
295.node, 295, 0.000369
296.node, 296, 0.000411
297.node, 297, 0.000418
298.node, 298, 0.000369
299.node, 299, 0.000375
300.node, 300, 0.000371
301.node, 301, 0.000379
302.node, 302, 0.000372
303.node, 303, 0.000388
304.node, 304, 0.000388
305.node, 305, 0.000391
306.node, 306, 0.000397
307.node, 307, 0.000395
308.node, 308, 0.000397
309.node, 309, 0.000425
310.node, 310, 0.000448
311.node, 311, 0.000443
312.node, 312, 0.000442
313.node, 313, 0.000482
314.node, 314, 0.000455
315.node, 315, 0.00046
316.node, 316, 0.000433
317.node, 317, 0.000474
318.node, 318, 0.000435
319.node, 319, 0.000437
320.node, 320, 0.000427
321.node, 321, 0.00044
322.node, 322, 0.00044
323.node, 323, 0.000456
324.node, 324, 0.000449
325.node, 325, 0.000568
326.node, 326, 0.00048
327.node, 327, 0.000442
328.node, 328, 0.000436
329.node, 329, 0.000436
330.node, 330, 0.000445
331.node, 331, 0.000462
332.node, 332, 0.000454
333.node, 333, 0.00045
334.node, 334, 0.000445
335.node, 335, 0.00046
336.node, 336, 0.000505
337.node, 337, 0.000511
338.node, 338, 0.000525
339.node, 339, 0.000541
340.node, 340, 0.000563
341.node, 341, 0.000555
342.node, 342, 0.000533
343.node, 343, 0.000468
344.node, 344, 0.000541
345.node, 345, 0.000529
346.node, 346, 0.000519
347.node, 347, 0.00056
348.node, 348, 0.000558
349.node, 349, 0.000575
350.node, 350, 0.000556
351.node, 351, 0.000562
352.node, 352, 0.000541
353.node, 353, 0.000514
354.node, 354, 0.000521
355.node, 355, 0.000547
356.node, 356, 0.000605
357.node, 357, 0.000596
358.node, 358, 0.000573
359.node, 359, 0.000571
360.node, 360, 0.000541
361.node, 361, 0.000536
362.node, 362, 0.000542
363.node, 363, 0.000544
364.node, 364, 0.000548
365.node, 365, 0.000592
366.node, 366, 0.000545
367.node, 367, 0.000617
368.node, 368, 0.000588
369.node, 369, 0.00062
370.node, 370, 0.00063
371.node, 371, 0.000631
372.node, 372, 0.000639
373.node, 373, 0.000632
374.node, 374, 0.000622
375.node, 375, 0.00066
376.node, 376, 0.000623
377.node, 377, 0.000621
378.node, 378, 0.00059
379.node, 379, 0.000591
380.node, 380, 0.000602
381.node, 381, 0.000604
382.node, 382, 0.000629
383.node, 383, 0.000629
384.node, 384, 0.000611
385.node, 385, 0.000619
386.node, 386, 0.000623
387.node, 387, 0.000611
388.node, 388, 0.00062
389.node, 389, 0.000641
390.node, 390, 0.000631
391.node, 391, 0.000666
392.node, 392, 0.000742
393.node, 393, 0.00067
394.node, 394, 0.000641
395.node, 395, 0.000632
396.node, 396, 0.000652
397.node, 397, 0.000662
398.node, 398, 0.000656
399.node, 399, 0.000655
400.node, 400, 0.000659
401.node, 401, 0.000659
402.node, 402, 0.000669
403.node, 403, 0.000645
404.node, 404, 0.000831
405.node, 405, 0.000929
406.node, 406, 0.000881
407.node, 407, 0.000755
408.node, 408, 0.000718
409.node, 409, 0.000749
410.node, 410, 0.000791
411.node, 411, 0.000753
412.node, 412, 0.000805
413.node, 413, 0.000805
414.node, 414, 0.0007
415.node, 415, 0.000703
416.node, 416, 0.000724
417.node, 417, 0.000732
418.node, 418, 0.000715
419.node, 419, 0.000718
420.node, 420, 0.000724
421.node, 421, 0.000733
422.node, 422, 0.000723
423.node, 423, 0.000807
424.node, 424, 0.000811
425.node, 425, 0.000837
426.node, 426, 0.000745
427.node, 427, 0.000751
428.node, 428, 0.000744
429.node, 429, 0.000754
430.node, 430, 0.00078
431.node, 431, 0.000745
432.node, 432, 0.000759
433.node, 433, 0.000765
434.node, 434, 0.000762
435.node, 435, 0.000778
436.node, 436, 0.000769
437.node, 437, 0.00082
438.node, 438, 0.000787
439.node, 439, 0.000785
440.node, 440, 0.000794
441.node, 441, 0.000792
442.node, 442, 0.000797
443.node, 443, 0.000897
444.node, 444, 0.000869
445.node, 445, 0.000896
446.node, 446, 0.00091
447.node, 447, 0.000912
448.node, 448, 0.000825
449.node, 449, 0.000878
450.node, 450, 0.000809
451.node, 451, 0.000792
452.node, 452, 0.000909
453.node, 453, 0.00093
454.node, 454, 0.000832
455.node, 455, 0.000847
456.node, 456, 0.000855
457.node, 457, 0.000949
458.node, 458, 0.000967
459.node, 459, 0.000866
