filename, n, cpu_time_used
246.node,246,4.90E-05
247.node,247,4.70E-05
248.node,248,4.90E-05
249.node,249,5.20E-05
250.node,250,4.70E-05
251.node,251,4.90E-05
252.node,252,4.90E-05
253.node,253,5.00E-05
254.node,254,4.90E-05
255.node,255,4.90E-05
256.node,256,5.10E-05
257.node,257,5.50E-05
258.node,258,5.10E-05
259.node,259,5.20E-05
260.node,260,6.00E-05
261.node,261,5.50E-05
262.node,262,5.80E-05
263.node,263,5.50E-05
264.node,264,5.60E-05
265.node,265,5.90E-05
266.node,266,5.50E-05
267.node,267,5.20E-05
268.node,268,5.70E-05
269.node,269,5.30E-05
270.node,270,5.50E-05
271.node,271,5.30E-05
272.node,272,5.80E-05
273.node,273,5.40E-05
274.node,274,5.20E-05
275.node,275,5.90E-05
276.node,276,6.30E-05
277.node,277,5.90E-05
278.node,278,6.20E-05
279.node,279,6.50E-05
280.node,280,7.40E-05
281.node,281,5.80E-05
282.node,282,6.10E-05
283.node,283,5.60E-05
284.node,284,5.80E-05
285.node,285,5.70E-05
286.node,286,5.90E-05
287.node,287,5.30E-05
288.node,288,6.00E-05
289.node,289,5.90E-05
290.node,290,5.40E-05
291.node,291,6.20E-05
292.node,292,5.50E-05
293.node,293,5.90E-05
294.node,294,6.10E-05
295.node,295,6.10E-05
296.node,296,5.80E-05
297.node,297,5.60E-05
298.node,298,6.40E-05
299.node,299,5.90E-05
300.node,300,5.90E-05
301.node,301,6.40E-05
302.node,302,6.10E-05
303.node,303,5.80E-05
304.node,304,7.20E-05
305.node,305,5.70E-05
306.node,306,6.00E-05
307.node,307,6.20E-05
308.node,308,5.90E-05
309.node,309,6.30E-05
310.node,310,6.10E-05
311.node,311,7.30E-05
312.node,312,6.10E-05
313.node,313,6.20E-05
314.node,314,7.60E-05
315.node,315,7.60E-05
316.node,316,7.40E-05
317.node,317,8.40E-05
318.node,318,7.10E-05
319.node,319,6.50E-05
320.node,320,8.00E-05
321.node,321,7.50E-05
322.node,322,6.90E-05
323.node,323,7.40E-05
324.node,324,7.00E-05
325.node,325,6.90E-05
326.node,326,7.40E-05
327.node,327,7.80E-05
328.node,328,7.50E-05
329.node,329,7.20E-05
330.node,330,7.00E-05
331.node,331,0.000153
332.node,332,0.000108
333.node,333,8.90E-05
334.node,334,7.80E-05
335.node,335,7.40E-05
336.node,336,6.60E-05
337.node,337,6.30E-05
338.node,338,8.20E-05
339.node,339,6.70E-05
340.node,340,6.90E-05
341.node,341,6.80E-05
342.node,342,9.60E-05
343.node,343,7.00E-05
344.node,344,6.90E-05
345.node,345,6.70E-05
346.node,346,6.90E-05
347.node,347,6.80E-05
348.node,348,6.70E-05
349.node,349,7.20E-05
350.node,350,6.50E-05
351.node,351,8.10E-05
352.node,352,6.60E-05
353.node,353,8.10E-05
354.node,354,7.30E-05
355.node,355,6.90E-05
356.node,356,7.00E-05
357.node,357,6.90E-05
358.node,358,6.80E-05
359.node,359,7.40E-05
360.node,360,6.80E-05
361.node,361,7.90E-05
362.node,362,6.90E-05
363.node,363,7.20E-05
364.node,364,7.00E-05
365.node,365,8.50E-05
366.node,366,8.30E-05
367.node,367,7.70E-05
368.node,368,9.60E-05
369.node,369,8.00E-05
370.node,370,8.20E-05
371.node,371,9.90E-05
372.node,372,8.20E-05
373.node,373,9.10E-05
374.node,374,8.20E-05
375.node,375,9.60E-05
376.node,376,7.90E-05
377.node,377,9.70E-05
378.node,378,7.50E-05
379.node,379,7.70E-05
380.node,380,7.70E-05
381.node,381,7.50E-05
382.node,382,7.50E-05
383.node,383,7.90E-05
384.node,384,7.00E-05
385.node,385,8.20E-05
386.node,386,8.90E-05
387.node,387,8.30E-05
388.node,388,8.70E-05
389.node,389,8.70E-05
390.node,390,9.20E-05
391.node,391,0.000145
392.node,392,9.10E-05
393.node,393,9.00E-05
394.node,394,8.50E-05
395.node,395,8.80E-05
396.node,396,9.10E-05
397.node,397,0.000117
398.node,398,9.30E-05
399.node,399,8.20E-05
400.node,400,7.80E-05
401.node,401,8.00E-05
402.node,402,0.0001
403.node,403,9.70E-05
404.node,404,8.90E-05
405.node,405,9.10E-05
406.node,406,8.50E-05
407.node,407,8.70E-05
408.node,408,9.10E-05
409.node,409,9.40E-05
410.node,410,0.000126
411.node,411,0.000109
412.node,412,0.00011
413.node,413,0.000128
414.node,414,0.000221
415.node,415,0.000113
416.node,416,9.20E-05
417.node,417,0.000106
418.node,418,8.30E-05
419.node,419,9.10E-05
420.node,420,8.40E-05
421.node,421,0.0001
422.node,422,8.50E-05
423.node,423,8.50E-05
424.node,424,9.90E-05
425.node,425,0.000102
426.node,426,9.80E-05
427.node,427,9.20E-05
428.node,428,9.70E-05
429.node,429,9.40E-05
430.node,430,9.10E-05
431.node,431,9.70E-05
432.node,432,8.80E-05
433.node,433,9.80E-05
434.node,434,9.30E-05
435.node,435,9.70E-05
436.node,436,9.30E-05
437.node,437,0.000193
438.node,438,9.90E-05
439.node,439,0.0001
440.node,440,9.90E-05
441.node,441,0.000105
442.node,442,9.60E-05
443.node,443,9.60E-05
444.node,444,0.0001
445.node,445,0.000102
446.node,446,0.000101
447.node,447,9.50E-05
448.node,448,9.10E-05
449.node,449,8.70E-05
450.node,450,9.30E-05
451.node,451,8.50E-05
452.node,452,8.90E-05
453.node,453,8.80E-05
454.node,454,9.10E-05
455.node,455,8.50E-05
456.node,456,9.20E-05
457.node,457,9.10E-05
458.node,458,9.10E-05
459.node,459,8.60E-05
460.node,460,9.80E-05
461.node,461,9.20E-05
462.node,462,9.10E-05
